一行出去就係泳池，再行出啲就係沙灘。	一行出去就係泳池，再行出Ｄ就係沙灘！
啲書我數過喇，係啱數嘅。	我數過書，數量是對的。
衰到死呀，呢個人！	壞得很吶，這個人！
跳樓價	特別便宜的價錢
用angle-sum-of-triangle嘅咩？	要用三角形內角總和嗎？
松嶽燒酒產自開城（古時稱「松都」），主要原料係粟米，酒精度30度。	松嶽燒酒產自開城（古時稱「松都」），主要原料為玉米，酒精度30度。
前面嘅路好顛簸，坐穩喇！	前路坎坷。 穩坐！
佢個人做嘢好𥹉懦，成日嘥晒啲時間。	他在工作中優柔寡斷，經常浪費很多時間。
幾步	幾步之遙
沓正六點	六點整
講多無謂，你哋想出幾多錢？	說話是沒有用的。 你願意出多少錢？
唔關你事！	這不關你的事！
誒我自己為例喇。我有officehours𡃉喎。我要返朝九晚七喇。	我自己爲例了。我有officehours淘氣。我要回朝九晚七了。
阿丁	愚人
佢老婆同佢阿媽成日嗌交，搞到佢好苦惱。	他的妻子和他的母親經常吵架，讓他感到很苦惱。
下表列出k ≤ 17嘅話，各k值下k-hemiperfect數嘅最小值（OEIS中的數列A088912）。	下表列出在k ≤ 17範圍內．各k值下k-hemiperfect數的最小值（OEIS中的數列A088912）。
有啲𡃁仔唔識寫個死字，佢哋揸車時就係噉玩法㗎。	一些沒出息的年輕人想死。 當他們開車時，他們就那樣胡鬧。
佢嘅身家就係呢幾個槓喇	他的全部家當就是這幾個箱子
哲學家	哲學家
急要	急需
賣告白	做廣告
我高過你。	我比你高。
但係好似好悶𡃉喎。	但是好像很悶悶啊。
好耐冇打日記，因為呢陣冇乜嘢發生，所以都唔知打乜好。	很久沒有寫日記了，因為此時什麼事都沒有發生，所以我完全不知道寫什麼好。
你信嗰啲衰人，畀佢哋咁多錢？真係戇𨶙！	你相信那些無賴，還給了他們那麼多錢？ 你真是該死的愚蠢！
無見你一排又肥左兩個碼喎	沒見你一陣又胖了兩個碼
球証	球賽裁判
有無人去過香港仔體育館嘅兒童遊戲室玩？嗰度乾唔乾淨㗎？	有沒有人去過香港人體育館的兒童遊戲室玩？那裏乾不乾淨的？
隊	隊伍
而家呢個花臣out咗。	現在這種時尚已經過時了。
前面街口轉左就係	前面街口左轉就是
又冇同書裡邊嘅任何一章有關係	它和書中任何散文都沒有關聯 。
學生話佢知發興街係喺上環，但係唔知有冇小巴經嗰度	學生說他知道發興街是在上環，但是不知道有沒有小巴經那裏
呢個一號車牌係警務處長嘅。	這個編號為一的車牌屬於警察局長。
依家嘅人七十歲有乜出奇啫。	對於現在的人來說，七十歲沒什麼了不起的。
夠	滿
呢排我都好忙	最近我也很忙
啲花生有油膉𡃴。	花生有一種難聞的氣味，就像它們變質了一樣。
嗰架車停喺度落貨，後面啲車俾佢阻住晒。	貨車停在這裡卸貨，後面的車子已經完全被擋住了。
嚇到佢定晒形。	他嚇得目瞪口呆。
衰人度度都有㗎喇。	壞人隨處可見。
邊個會知道西灣河海富街邊間雲吞麵最好食	誰會知道西灣河海富街哪一間餛飩麪最好喫
有咩證據 ？	有什麼支持證據呢 ？
佢潛咗水喇，你而家搵唔到佢㗎喇。	他逃脫了法律。 你現在找不到他了。
呢班有三十個學生。	這個班有三十個學生。
聽見電話裏邊失望嘅聲音 老實講 係我哋不停改進嘅動力	這些失望的聲音 ， 我說實話 ， 一直都是我們不停改進的一大動力 。
佢收到男朋友送嘅花，成個樣冧晒。	她收到了男朋友送的花，看起來非常高興。
越過	越過了
扁平足	扁平足
噉𠻺去到睇，去到睇𠻺四點幾嗰陣呢𠻺賣咗一、兩成位喇。噉但係到五點半入場嗰陣呢都有七、八成人嘞。其中包括劉青雲喺度𡃉。	打到看，去到看嘮四點幾嗰陣這賣咗一、兩成位了。但是到五點半入場那時呢都有七、八成人了。其中包括劉青雲在這裏。
前面條路好塞，我哋要行第條路先得喇。	前面的路被堵住了，所以我們需要走另一條路才能走。
成日手藤腳震驚到鼻哥窿都冇肉	總是手藤腳震驚到鼻哥洞都沒肉
甚至可以上去採集礦物 但係嗰個完全係另一件事 我唔會深入呢個話題 （ 笑 ）	你當然可以把它推到地球的軌道 , 在哪裡我們可以開採它 , 但是那又是別的一回事 。 我不會在這裡討論它 。
佢一直懷恨在心，等機會報仇。	一直以來，他都懷恨在心，一直在伺機報仇。
中心思想	中心思想
監	逼
消防處	消防處
你都冇解嘅，唔通要人哋女仔向你道歉先咩？	你真可笑，你的意思是說，像她這樣的女孩子，必須要先向你道歉嗎？
塊糕上便嗰啲白蒙蒙嘅嘢係咩嚟㗎，係唔係發毛呢？	那塊糕上面白白的東西是什麼，是不是發黴了？
而且無一間冧過	而且沒有一座倒塌 .
呢兩袋米粉係佢起膊運返嚟嘅。	這兩袋米粉，他用扁擔背了回去。
然後將佢哋種喺門口嘅花盤 、 前院	可種在門階上的花盆裡
我苦心勸阿松，但係佢就置若罔聞。	我好心地給阿忠提建議，他卻充耳不聞。
呢個仆街仔，又幾叻㗎喎！	原來這小狗東西還挺聰明的！
佢副偈好得喎。	她的身材很好。
鹹濕佬	色鬼
呢兩碟幫我打包吖	這兩盤菜給我包起來吧
飛虎隊小心翼翼噉接近敵人嘅巢穴。	飛虎隊小心翼翼地接近敵人的藏身之處。
你幾號籌？	你的芯片號碼是多少？
有無人知道長洲海傍街係點去㗎	有沒有人知道長洲海邊街是怎麼去的
哦。你哋去-去咗啲乜嘢地方來啊？	哦。你們去 - 去了些什麼地方來啊？
買開嘢就計平啲	順便再買就收便宜點
家教雖甚嚴，但卻從不擺架子	家教雖甚嚴，但卻從不擺架子
餓咗成日，終於有嘢食喇。	餓了一整天，我們終於有東西吃了。
點呀，諗通未？	怎麼樣，想通了沒有？
陰陰笑	微微笑
快啲啦，趕唔切搭校車啦	快點吧，來不及上校車了
賽龍舟	龍舟賽
你做乜嘢最熟行？	你幹什麼最內行？
若要人不知... 唔好甘低B....	若要人不知...不要甘低 B. ...
狙擊槍	狙擊槍
W八零一即係佢個room個地方來嗎，直至七點鐘先走，哎吔上鏡嚹。	W八零一就是他的room個地方來攆嗎，直至七點鐘先走，哎喲上鏡嚹。
我哋必須推翻呢啲唔合理嘅啲事	我們必須向那些挑戰 。 那些完全不合理智 。
你見佢咁懶都冇俾人炒，就知佢有人射住啦。	看他這麼懶惰，還沒被開除，就知道有人保護他了。
個男仔喺門罅𠓼張報紙入去。	男孩把報紙從門下的縫隙裡塞了進去。
佢係專門研究歷史嘅。	他專攻歷史。
我諗番呢件事都覺得好唔開心。	回想起這件事，我總覺得很不開心。
好似 Gamma 同駭客團隊噉 FBI 都有能力 遙控啟動網絡攝錄機 、 麥克風 去偷文件 、 攞上網紀錄 、 電腦檔案	如同伽碼以及駭客團隊這樣的企業 FBI 也有能力 遠端啟動網路攝影機 、 麥克風 、 竊取文件 、 取得網路瀏覽資料等 這樣的行為
華夏大地	中國土壤
你惹佢嘅話你就麻煩嘍！	得罪他就麻煩了！
老公公	老人
好閑	謂容易辦
歡迎以色列的創新企業利用香港國際級的金融平台籌集資金	歡迎以色列的創新企業利用香港國際級的金融平臺籌集資金
有個老婆婆喺將軍澳翠善街等緊小巴	有個老婆婆在將軍澳翠善街等小巴
唔係要我同佢慶祝咓？兩個人。	不是要我和他慶祝咓？兩個人。
保險佬食好多佣，小心俾佢哋呃。	保險銷售員收取高額佣金，謹防他們的銷售策略。
棋盤中間係一個3*3大小嘅終點區域，四邊會接一個6*3嘅區域。每個區域嘅左邊由尾數起第二格係起點，中心為終點。	一個3*3大小區域，四邊各接一個6*3方格。以各端左側從底端往上數第二格為起點，中心為終點。
我太太係一個賢妻良母。	我的妻子是一個賢妻良母。
喘	喘著氣的
我對課本同圖書館毫無興趣	課本和圖書館不是我的地盤 。
佢可以調節大腦嘅社交本能	它可以在腦袋裡微調你的社交本能
我買咗個大蛋糕慶賀亞爺七十大壽。	我買了一個大蛋糕來祝賀爺爺七十歲的生日。
有啲字寫錯咗。	有些漢字寫錯了。
鎄	鑀
呢間餐廳嘅菜真係冇得頂。	這家餐廳的食物真的無與倫比。
你炖啲牛肉，好好味。	這牛肉要是雙水煮一下，味道還不錯。
但原本哩個已經係一個價值𡃉喇，未賣翻版CD之前啊，未有三十蚊嘅CD-即係出現之前啊，你會唔會噉諗吖？	但原本這個已經是一個價值，沒賣盜版CD之前啊，沒有三十元嘅CD-就是出現之前啊，你會不會這麼想？
八月底啊。	八月底啊。
Tony佢哋前嗰排啊，參加咗個，誒，歌唱比賽啊。	Tony 他們前一陣子啊，參加了個，噓，歌唱比賽啊。
牛栢葉冇乜味，加返啲咖哩就啱啱好嘞。	牛肚的味道本身就很清淡，搭配咖哩再合適不過了。
深圳投訴港污染,林鄭向內地道歉	深圳投訴港污染，林鄭向內地道歉
消費券啲安排太複雜，勁嘔電囉。	消費券的排列過於復雜。 我很生氣。
每個星期日朝早，我都會特登早啲起身去麥記食班戟。	每個星期天，我都會早早起床去麥當勞吃煎餅。
你估下我幾多歲？	猜猜我幾歲？
魚腥草	蕺菜
秘	祕
能和氣就和氣	能和氣就和氣
籠	一套
佢對老婆漠不關心咁，唔怪得最後離婚啦！	他的離婚並不奇怪，因為他根本不關心他的妻子。
打開水龍頭	打開水龍頭
我哋N年冇見喇。	我們已經很多年沒有見面了。
便	就
一鑊熟	全都死光
晏晝飯都未落膈咁快又下午茶？	我們的午餐在胃裡還沒開始消化就去喝下午茶？
其他國家都有反對京都協議書，好似美國咁。	一些國家反對京都議定書，例如美國。
衝出嚟柒	快速而愚蠢地做出反應
屙羊咩屎	便秘
唔該畀飾櫃嗰種筆我睇吓先	請把櫥櫃裡的那種筆拿給我看看
到底柒婆幾時先歸西	到底舅婆什麼時候才歸西
SSG吖嗎。SafetySpecialistGroup吖嗎。噉佢哋今次講嗰啲嘢就講啲安全嗰啲嘢囖，即係顧名思義。噉𠻺講啲安全嗰啲嘢喇。講吓佢哋間公司嗰啲架構，關於安全方面嘅嘢當然係。	SSG 啊嗎。SafetySpecialistGroup 嗎。他們這次說那些東西就說點安全那些東西，就是顧名思義。這麼說點安全那些東西了。說一下他們的公司那些架構，關於安全方面的東西當然是。
肉好實	肌肉很結實
個差佬咁蠢㗎，畀個疑犯借屎遁走甩咗！	多麼愚蠢的警察啊！ 嫌疑人藉口要上廁所而逃之夭夭。
做乜諗野唔食飯	幹嘛想東西不喫飯
太新啲歌。	太新的歌。
就噉話啦吓！	就是這樣，好嗎？
我依家喺九龍塘衡州道，附近有停車場泊車嗎	我現在在九龍塘衡州道，附近有停車場停車嗎
我點知佢無啦啦發咩神經	我怎麼知道他沒了吧發什麼神經
到 2050 年 會有十五億 六十五歲以上嘅人口	到 2050 年 ， 將會有十五億人的年齡 在六十五歲以上 。
個經理有嘗試 搵我哋唧偷拍攝影機	期間經理一直想要 追查到我們的攝影機
聽講呢棟大廈有好多鬼。	有人說這棟樓有很多鬼。
你唔需要教人點樣去控制 Romo	你不需要教他人如何駕駛 ROMO 。
佢都幾爛玩，成日玩到好夜先返屋企。	他很頑皮，總是在外面玩到很晚。
你畀乜嘢錶二叔公睇，佢都實話係爛銅爛鐵嚟嘅。	不管你把什麼樣的表交給典當行來評價，他肯定會說是垃圾。
比併	比較
原來香港都有得立食和牛。	我剛剛意識到我們可以在香港站起來吃和牛牛肉。
佢keep得嗰個男仔好緊	她把那個男子控制得很緊
我哋好有心機創作呢本書 漫畫插圖唔會惹人反感 但文化題材有啲敏感	書本繪製期間 ， 我們相當留心 漫畫中沒有出現任何會引起反感 和文化敏感的圖像 。
佢以私隱為由拒絕解釋。	出於隱私考慮，他拒絕解釋。
大專學界同攬炒都有同樣信念	大專學界和攬炒也有同樣信念
入口即溶	入口即化
所以恭喜你	恭喜你
我懂得他的意思了，	我懂得他的意思了，
真係唔好意思，阻住你添	真不好意思，打擾你了
清理積雪	清除積雪
我覺得睇新聞就已經即係好刺激𡃉嚹。	我覺得看新聞就已經就是很刺激嫋。
門口好黑 ， 佢就講咗一個字 「 拜 。 」	他在黑暗中大喊了一個字 ： 「 掰 ！ 」
阿根廷選舉選出新任領導人	阿根廷投票產生了新的領導 ，
你如果冇機會去上堂 你就要跟住錄音碟	如果你沒有去課堂上課 ， 那還有一種叫錄音的東西 。
石英係一種晶體。	石英是一種水晶。
但講到一啲好似糖尿病咁嘅病 比黑色素瘤奪去多八倍美國人嘅病 我從未懷疑過前人知識	然而講到糖尿病這類疾病 在美國 ， 致命率比黑色素瘤高八倍 我從來不質疑傳統的觀念
讀過兩年㩧㩧齋	唸了兩年的私塾
看見自己了：	看見自己了：
政務官	行政官員
冇錢啊。跟住就失業嘞返到來。	沒錢啊。接着就失業了回來到來。
定當	妥當
課文主旨	文章的中心思想
洗面梘	洗面奶
你有心喇，我好翻好多喇	謝謝您關心，我好多了
銀主盤	收回財產
老婆去咗台北探親，我呢個星期都要食自己。	老婆去台北探親了，這週必須照顧好自己。
星期日乜都唔使做真心好爽。	我在豬的天堂，星期天什麼都不用做。
約你五點，你啱啱五點就到，好準時喎。	我們計劃在五點見面，而你五點剛到。 你很守時！
個訪問應該會喺九月中出街。	採訪內容將於九月中旬發布。
三個細路 ， 系三個學生黎嘅 ， 被軍隊扣押 因為佢地無帶身份證明	三個孩子 ， 就是三個學生 ， 被軍隊拘留了 ， 因為他們未攜帶證件 。
個半鐘	一個半小時
劇場版	劇場版
我哋對呢件事實冇走盞。	我們對這件事很有信心。
我覺得紅白藍膠袋係香港庶民文化嘅象徵。	我覺得紅白藍包是香港民俗文化的象徵。
你知唔知點去東涌安東街嗰間缽仔糕	你知道嗎？怎麼去東涌安東街那間鉢兒子糕
我家姐一路都在太古廣場一間名牌做售貨員	我姐姐一直都在太古廣場一間名牌做售貨員
得唔得閒	有沒有空
呢個係你個親身體驗呀？	這個是你的親身體驗？
噉掂喇。	這樣弄好了。
三十六著，走為上著。	三十六着，走爲上着。
我阿哥住喺石塘咀翰林峰	我哥哥住在石塘咀翰林峯
叫左你唔好響個地下碌嚟碌去啦，搞到而家成隻污糟貓咁。	我告訴過你不要在地上打滾，現在你身上沾滿了泥巴，你這個小土球。
早熟。早熟。	早熟。早熟。
做錯少少嘢啫，使唔使係咁數我呀？	我只是犯了一個小錯誤，就一定要羅列我以前的過錯一直罵我嗎？
有咗錄音機之後 我可以請家人朋友將文字讀一次 然後我就可以將佢讀返 ， 讀幾多次都得	我可以請親友幫我讀點東西 ， 然後我可以跟著 要唸幾次就唸幾次 。
有碗話碗有碟話碟	就事論事
大人大姐咯，仲喊。	你現在是成年人了，你還哭。
係喇。最後Ada喇。幫人影相都唔知影乜𡃉喎。你睇下我幫佢影嗰啲影得幾好。嗱！哩張正面，哩張又側面影得幾好。你睇佢吖，唔知影乜嘢𡃉。張張淨係影人唔影景喎。	對了。最後Ada了。幫人拍照都不知道拍什麼啊。你看看我幫他拍那些拍得挺好。！這張正面，這張又側面拍得還好。你看他啊，不知道拍什麼。張張只是影人不拍景。
老細講咩佢都一味話好，正一擦鞋仔。	他是老闆的應聲蟲，真是個馬屁精。
對襯	相對應的
每次問佢幾時還錢，佢就一味喺度耍太極。	每次要他還錢，他都是拐彎抹角。
細路仔成日以為有怪物匿響衣櫃。	孩子們普遍認為衣櫃裡藏著怪物。
你聽到我哋講嘅嘢喇？	你聽到我們的對話了？
靈糧堂劉梅軒中學喺1998年由香港靈糧堂向政府申辦， 最初係叫做「大埔靈糧中學」。到咗第二年，學校用咗大埔區一間小學開始運作，喺嗰一年嘅8月16號正式接收校舍。由於學校開辦費用係由劉梅軒長老捐贈，所以正式校名亦改為「靈糧堂劉梅軒中學」。	此校於1998年由香港靈糧堂向政府申辦，並獲分配現址的校舍，初期暫名為「大埔靈糧中學」。至翌年年初，此校用大埔區一間小學開始運作，並於同年8月16日正式接收校舍，隨後開課。由於此校的開辦費用由劉梅軒長老捐贈，因而冠名，而正式校名亦因而改為「劉梅軒中學」。
上帝保佑你。	上帝祝福你。
但係乜嘢貨櫃碼頭？即係有躉office噉呀？	但是什麼貨櫃碼頭？就是有躉office似的嗎？
佢斷咗我哋條財路	他把我們生財的路給掐斷了
佢呢個人好口疏疏，咪話畀佢知。	至於這個人，倒是挺口無遮攔的，你就別跟他說了。
黃師傅去上環貴華里幫個後生仔睇跌打	黃師傅去上環貴華里幫個年輕人看跌打
邊個會知道上環港中里邊間雲吞麵最好食	誰會知道上環港中裏哪一間餛飩麪最好喫
她懇求死神給予還陽機會	她懇求死神給予還陽機會
有啲西人識睇中文字。	一些西方人會讀漢字。
係。又要檢疫啊。	哦 對。又要檢疫啊。
抽獎抽到部車，之後又要燕梳牌費一大堆開支，真係執條襪帶累身家	抽獎抽了部汽車，之後保險和牌費開支出了很多，真是得不償失
你哋快啲啦!姑奶佢哋而家喺柴灣站等緊你哋	你們快點吧！姑奶他們現在在柴灣站在等你們
我唔知應該點同你哋講好呀	我不知道應該怎麼跟你們說才好了
再加上	再加上的
除非我哋正視呢個無形性經濟 否則我哋會面對一如所料嘅後果 目送珍貴嘅天然財產逐漸惡化同消失	要是我們不正視 這個隱藏力 我們將會得到一些可被預知的結果 -一個漸進的對這個保貴自然資產 的虧損
宜家 ， 網路工具 令呢種歌手同樂迷之間嘅交易 同喺街頭求助一樣直接 、 簡單 而且呢種轉變就快成為潮流	那些讓交流像在街頭一樣 變得更簡單 ， 更自然的網路工具 正在慢慢進步
一啲啲有來呀？	一點點有來嗎？
一家大細	整個家庭
一身債	許多債
聽日係假期，唔知道屯門嘅黃金泳灘多唔多人？	明天是假期，不知道屯門的黃金泳灘多不多人？
假石山	假山
佢個表情好唔自然。	他的表情很不自然。
約定你	到時見
孖	相連
火水爐	煤油爐兒
富有創見	富有創意
沙田站一出就係新城市廣場。	新城市廣場就在沙田站外。
你成日要出差，小心冷落咗新婚太太啊！	你總是出差在外，小心別忽視了你的新婚妻子。
你知唔知點去土瓜灣宋皇台道嗰間缽仔糕	你知道嗎？怎麼去土瓜灣宋皇臺道那間鉢兒子糕
本港狀元瓜	本港狀元瓜
泰式柚子沙律	泰式柚子沙拉
冇所謂啦	不要緊的
違者會被檢控。	違者將被起訴。
頸渴	口渴
兩爺孫	爺孫兩
佢為呢間公司打好根基。	他為這家公司奠定了堅實的基礎。
命題作文	寫一篇帶有指定標題的作文
由陶土做成 倒模成為圓柱體 有人先喺上面刻滿密密麻麻嘅文字 之後放喺太陽底下曬乾	它是用陶土做成的 定型為 圓柱體 有人先在上面刻滿了密密麻麻的文字 之後就放在太陽底下曬乾
千祈	告誡
失魂	神不守舍
腰圍	腰身
或者係歡樂今宵啲人要扮譚小環。	或許是歡樂今宵人們要裝譚小環。
我話兩母女來𡃉。	我說母女倆來贏。
有個老人去左九龍城沐元街食齋	有個老人去九龍城沐元街喫素
老友鬼鬼唔好講埋啲咁嘅衰嘢	老兄鬼鬼別說了些這種壞東西
公司執行董事問咗幾個好中肯嘅問題 點解依家每個人仍然會去寫字樓番工 即使佢地其實可以喺任何地方做嘢 ?	而公司的執行長問了一個很中肯的問題 : 為什麼現今每個人仍希望到辦公室上班 ， 即使他們可以在任何地方辦公 ?
我想將依個書櫃改換成衣櫃。	我想用壁櫥代替這個書架。
佢當住我面嘅時候就好好，但係背住我嘅時候就講我壞話。	他表面上對我很好，背地裡卻說我的壞話。
呢排人心惶惶	最近人心惶惶
好多嘢都好抵買	很多東西都很划算
哦。嗰首。咦好彩冇睇啫。原來個結果噉嘅。	哦。那首。咦還好沒看而已。原來個結果這樣的。
呢個人係四方木頭，踢一踢先會喐一喐。	這個人是個笨蛋，你還得先踢他一腳，他才會動。
三板斧	能耐有限
姨媽同我去沙田宜正里買餸	姨媽跟我去沙田宜正裏買菜
牛皮燈籠點極都唔明呀	牛皮燈籠怎麼怎麼都不懂呢
唔使為嗰啲獎金搏命啩？	用不著為那點獎金把命拼上吧？
講極	說破了嘴
最後幾張相都俾佢擸埋。	最後幾張照片都被他收拾起來帶走了。
凱婷可以一次過食兩支煙。	海婷可以同時抽兩支煙。
他不以爲然了。	他不以爲然了。
係囖咪澳洲嗰邊囖，Perth。	是就澳洲那邊，Perth。
辦	貨樣
我聽呢個傘兵講嘢之後，就覺得佢真係俾人洗咗腦噉。	聽了這個傘兵的話，我覺得他真的被洗腦了。
件事唔關你事，你唔好阻頭阻勢！	這件事不關你的事，你別插手！
通菜清熱解毒，係夏天嘅時令蔬菜。	空心菜具有解毒清熱的功效，是夏季的時令蔬菜。
也在那裏議論我；	也在那裏議論我;
冇理由。	沒理由。
私房菜經已俾共認為係香港一種有代表性嘅飲食文化。	私房菜已被公認為香港飲食文化的一個特色。
呢幾套劇嘅情節都係大同小異，好鬼悶。	這些肥皂劇的情節大同小異，很無聊。
邪教	邪教、狂熱信仰
攪唔埋	脾氣合不來
來日方長，使乜急住做晒啲嘢佢呢？	未來還有很多明天。 匆忙完成所有事情有什麼意義？
煤氣喉	輸送煤氣的管道
今次個project佢揸大旗。	這次他負責這個項目。
好多女仔都想第日行天橋	很多女孩都盼著日後能當時裝模特兒
請問，烚蛋要烚幾耐啊？點樣烚蛋先唔會裂開？	請問，煮雞蛋要煮多長時間呢？ 如何煮雞蛋才不會裂開？
呢份form要嚟做乜㗎？	這個表格有什麼用？
有個老婆婆喺深水埗紫羅蘭山徑等緊小巴	有個老婆婆在深水埗紫羅蘭山徑等小巴
你苦瓜噉嘅面，唔使講又試輸馬啦。	你一副愁眉苦臉的樣子，不用說你又在賽馬上輸了錢。
一排	一排的
個碗底仲有啲渣㗎，泌咗啲汁食埋佢吖。	碗裡還有一些果肉。 篩出果汁後讓它們完成。
水蜜桃鮮草莓綠茶	水蜜桃鮮草莓綠茶
呢個就係我哋做嘅方式	然後這是我們工作的方式
做啊。	做啊。
窿罅	很偏的門路
今晚我哋會有排練。	我們今晚要排練。
我幾好呀！你又過得點呀？	我挺好的，你呢？
同原稿校對	與原稿核對
做乜搵條繩𢫦我啊？	你為什麼用繩子打我？
成塊雞蛋仔都幾大，入面有好多溶咗嘅朱古力。	整個雞蛋仔很大，裡面還有很多融化的巧克力。
我阿媽住喺九龍塘星輝豪庭	我媽住在九龍塘星輝豪庭
哦，我夠要喇。	哦，我夠要了。
當我話畀唔到錢，佢就眼超超噉望住我。	當我說我不能給錢時，她就那樣瞪著我。
我哋唔會投資喺受害者身上 我哋投資喺生還者身上	我們不投資受害者 我們投資存活下來的人
天臺	天棚
你做呢行有幾多日啊？喺老行尊面前都咁沙塵！	您在該領域工作了多少天？ 在一個老手面前放肆！
時菜班腩飯	時菜班腩飯
菜莆叉燒粒炒飯	菜莆叉燒粒炒飯
本區嘅氣候係亞熱帶季風氣候，夏季濕熱多雨，冬季乾旱多風。全年平均氣溫約攝氏24度，年降雨量約1500毫米，雨季喺5~8月間嘅梅雨、颱風同夏季西南季風盛行期間。	本區之氣候為亞熱帶季風氣候，夏季濕熱多雨，冬季乾旱多風。全年平均氣溫約攝氏24度，年降雨量約1500毫米，雨季落在5~8月間的梅雨、颱風與夏季西南季風盛行期間。
大軍發動政變，擁立主將登基。	軍隊發動政變，擁將軍為皇帝。
唯有自己人養起自己人架咋	只有自己人養起自己人架而已
或者有啲嘅地方需要澄清。	要求候選人就某些方面作出澄清。
是日	當日、今天
心大心細	拿不準主意
呢個後生仔好捱得	這個小伙子很能吃苦
噫！我唔中意用夜冷貨。	不，我不喜歡二手貨。
的士喺沙田禾穗街兜左幾個圈	出租車在沙田禾穗街兜了幾個圈
請你買個六十𡆇嘅燈膽。	請購買一個 60 瓦的燈泡。
佢趕住喺限期前交貨，有氣冇碇唞。	他急於在截止日期前交出作品。
你餓唔餓呀，我煮個公仔麪俾你吖？	你餓了嗎？ 如果你願意，我可以給你做方便麵。
預防禽流感，勿摸活家禽。	為避免感染禽流感，請勿接觸任何鳥類或家禽。
我哋會攞幾個唧𢲲起你呢架車。	我們會得到幾個千斤頂來舉起你的這輛車。
面青面黃	臉色青黃
杠架	單杠
大火經樓梯迅速蔓延至整座大廈，冇樓層倖免。	大火通過樓梯迅速蔓延，吞沒了整棟建築，每一層樓都被燒毀。
大城市裏面嘅大學生比比皆是，揾工做唔易㗎！	在大城市，大學畢業生隨處可見。 找工作不容易！
我數三聲你好舉高雙手投降。如果唔係我哋攻入嚟	我數三聲你好舉高雙手投降。如果不是我們攻入來
警車攔住個路口，咩車都唔可以出入。	警車擋住了路。 沒有車可以進出。
婚前	婚前的
如果拉結下邊個鞋帶 ， 你會見到個結轉動 同鞋噶橫軸對齊 。	如果你拉結下方的鞋帶 ， 你會看到蝴蝶結轉動 與鞋子的橫向軸對齊 。
心理狀態	心態
任你揀	所以你就有三個選擇 ， 你可以任選其一 。
咁耐	這麼長時間、這麼久
老細叫大家早啲收工返去做冬喎！	老闆說我們可以早點下班過冬至！
下世投胎	下回
點解要靈感𡃉？	爲什麼要靈感？
我覺得男人到左三十歲仲要依賴公共交通工具好可憐。	我覺得一個三十多歲的男人完全依賴公共交通是很可憐的。
中文科成績尚可。	語文成績一般。
閒	閑暇
當然，信貸評分唔係銀行批出貸款嘅唯一考慮因素	當然，信貸評分不是銀行批出貸款的唯一考慮因素
（ 掌聲 ） 個 D 字就快出嚟啦 。 等陣 ， 等陣	（ 掌聲 ） 快出來了 ， 等一下 !
傳染性急性結膜炎	急性傳染性結膜炎
大律師	訴訟律師
醒起	想起
美食盡在不言中	美食盡在不言中
係啊。一騎完馬之後，即刻呆晒。	是啊。一騎完馬之後，馬上呆了。
燒鵝瀨	鵝來粉
水喉鐵	鐵管兒
對管理層表達不滿	向管理層表達不滿
嗨 ， 我的名字是Marcin 是個農夫 ， 也是技術專家	嗨 ， 我的名字是Marcin 是個農夫 ， 也是技術專家
油污引致自然災害。	石油污染會導致自然災害。
勝出	獲勝
有兩個你嘅即係手下係平過你，加埋就已經做到你嘅嘢。噉你嘅競爭力就已經唔夠佢嘞。	有兩個你的就是手下是比你便宜，加上就已經做到你的東西。那你的競爭力就已經不夠他了。
佢好萌塞㗎，你同佢講都冇用。	他很固執。 跟他說話也沒用。
濫用職權	濫用職權
淡水魚	河魚
佢平時唔做運動，但係又學人走去報三千障，唔攞包尾就奇啦！	他幾乎不參加任何運動，所以我完全不明白他為什麼要報3000米障礙賽。 如果他沒有排在最後，那就是奇蹟了。
短短五天後小夢就離世	短短五天後小夢就離世
你可能冇注意到 但事實確實係咁	你可能不會注意到它 ， 但它總是在那裡 。
天氣酷熱	悶熱的天氣
你噉太搏命啦啩	你這樣也太拼了吧
坑腩	牛肋骨下的肉
有紋有路	有板有眼
因為我啱啱嚟到香港，我都要生存咖嘛。	因為我初來到香港，要生存嘛。
琴晚我去廁所開唔到門，噉我就打電話搵石Q上嚟開門，一開度門就見到老細同個女同事喺入便！	昨晚去廁所打不開門，於是打電話找保安上來開門。 一開門就看到老闆和一個女同事在裡面！
佢食好少嘢，鍾意食煙，唔做運動，佢咁奀嫋鬼命都唔出奇。	她吃得很少，喜歡抽煙，也不運動，瘦成這樣也不奇怪。
五七指示，即係中華人民共和國文化大革命前夕毛澤東寫嘅《給林彪同志的一封信》。1966年5月7號，毛澤東審閱中央軍委總後勤部《關於進一步搞好部隊農副業生產的報告》後，寫呢封信畀林彪。	五·七指示是中華人民共和國文化大革命前夕毛澤東《給林彪同志的一封信》的簡稱。這是1966年5月7日毛澤東審閱中央軍委總後勤部《關於進一步搞好部隊農副業生產的報告》後，致林彪的信。
鈉同氯化合黐埋一齊就會變做氯化鈉－即係食嘢用嘅食鹽。	當鈉和氯化學結合時，它們變成氯化鈉 - 用於食用的食鹽。
你係唔係仲考慮緊畢業後入邊行啊？	還在考慮畢業後從事什麼行業嗎？
觀眾 ： 係 ， 掂吖	觀眾 ： 是的 ， 棒極了 。
近代	近代
將資料歸類	對一堆數據進行分類
