炸彈同地雷比任何軍階大	炸彈和地雷比任何軍階大
佢為咗錢，不惜同朋友𢱑爛塊面。	為了得到錢財，他不惜拋棄榮譽，不顧朋友。
呢封信嘅正文只有三行。	這封信的正文只有三行。
佢好環保，會用晒一張紙嘅兩面。	他很環保，紙的兩面都用。
佢已經連續做咗三十幾個鐘頭未瞓過，可以稱之為「鐵人」。	他已經工作了三十多個小時，沒有睡覺。 他可以被稱為“鋼鐵俠”。
梁朝	梁朝偉
本以爲現在是已經並非一個切迫而不能已于言的人了，	本以爲現在是已經並非一個切迫而不能已於言的人了，
我假假哋都係高中畢業生	我總還是個高中畢業生
我用信用咭喺酒店度訂咗間房。	我用信用卡在一家旅館訂了房間。
有啲西人識睇中文字。	一些西方人會讀漢字。
嗰啲所謂低脂飲食 、 低澱粉質飲食 都唔係解決方法	所謂的低脂食物或低碳水化合物的食物 都不是解決的方法
抄勻	搜遍
老細我要碗牛肚麪唔該！	老闆，我要一碗牛肚拉麵！
嗰個細路好百厭	那個小孩很淘氣
冇事呀，唔小心扭親隻腳啫	沒事，不小心扭傷了腳而已
呷醋	妒忌
你睇，有咁多人喺呢度影相，就知道香港大學都係打咭熱點！	你看這裡拍照的人真多，你就知道港大也是自拍聖地！
一致同意	一致同意
你隨時去北京囖。	你隨時去北京。
喺呢度有脆脆鮮奶咖啡飲	在這裏有脆脆鮮奶咖啡喝
呢個係我哋嘅醫療保體系統中 一個非常成功嘅疾病預防嘅例子 。	這在我們的醫保體系中的確 是個很好的健康預防的成功案例 。
機油	潤滑油
我噉做會得罪人，冇辦法，食得鹹魚抵得渴係啦	我這樣做會得罪人，沒有辦法，我只好認了
吖！真係吖！乜嘢態度啊！	啊！真啊！什麼態度啊！
政府話普選要循序漸進，但係市民想第一屆就有公民提名。	政府官員表示，普選應循序漸進，但市民希望自首屆選舉起即有公民提名。
下晝開記招	下午召開新聞發布會
做人要一眼關七唔好死咕咕	做人要一眼關七不要死咕咕
鹹濕	色情
此為含有紫錐花成份的咀嚼片	此爲含有紫錐花成份的咀嚼片
佢好萌塞㗎，你同佢講都冇用。	他很固執。 跟他說話也沒用。
亦可用於改善過敏和尿道炎	亦可用於改善過敏和尿道炎
所以 ， 我將壓力當作係敵人	基本上我把壓力視如敵人
四點一個字	四點五分
個賣物會就快收檔喇，你而家至嚟？	義賣馬上就要結束了，你怎麼才到？
我依家喺西營盤西尾道，附近有停車場泊車嗎	我現在在西營盤西尾道，附近有停車場停車嗎
俾捕嘅學生有黑底，平時專喺學校度踢人入會。	被捕的學生屬於一個幫派，他以在學校強行招募幫派成員而聞名。
哦，唔鍾意。唔係啊，冇乜所謂啊，主要係俾我𡃉啫。	哦，不喜歡。不是啊，沒什麼所謂啊，主要是給我贏而已。
聽日要考試啦，我仲未溫過書，真係攞命！	明天就要考試了，我還沒有復習，真是氣死我了！
不摟	從來
鮮鴨潤腸係一斤一百八十八蚊，百分百香港製造，保証衞生。	鴨肝做的新鮮香腸一百八十八塊錢一斤。 百分百香港製造，保證衛生。
人家講得咁白，你都仲唔明解嘅。	我說得很清楚了。 你怎麼還不明白？
件衫都醃鹹咗喇，仲唔洗。	襯衫已經被汗水浸透了，你還沒洗呢。
豬兜肉	豬頰肉
開完會跟住就討論	開完會接著就討論
佢成日無啦啦鬧人，都黐黐哋㗎！	他總是無緣無故地罵別人。 我懷疑他是不是瘋了！
條街	一條街、一條街道
個歌手俾公司雪藏咗兩年，冇出過新碟。	這位歌手已被公司停工兩年，因此她沒有發行新專輯。
光復香港時代革命	光復香港時代革命
賣吓相思嚟靠借	賣一下相思來靠借
鹹酸菜	酸菜
揮手道別	向某人揮手告別
呢碗湯唔算好好飲，但係二十蚊有找，實在好平嘅噃。	這碗湯不算特別好吃，不過不到二十塊錢，其實也挺便宜的。
所以我哋話以部處軍隊 嚟回應塔利班嘅叛亂 係錯架	所以我們想部屬軍隊 來回應塔利班的暴亂 是錯的
恭喜晒喎，升呢做老豆喇喎！	恭喜！ 你升級了，當爸爸了。
去小丙屋企逗利是啦	去小丙家逗紅包吧
請問我想去葵涌荔景邨亞斯理衛理小學要搭邊架巴士	請問我想去葵涌荔景村亞斯理衛理小學要搭哪輛巴士
佢搵緊嘅屋應該有一廳三房。	她要找的公寓應該有四個房間。
冤口冤面	倒霉貌
前111年（漢武帝元鼎六年），漢朝征服南越國，設立九郡，其中南海郡治仍設返去番禺。元封五年改屬交州，州治係廣信（現廣東封開）。	前111年（漢武帝元鼎六年），漢朝征服南越國，設立九郡，其中南海郡治仍設在在番禺（今廣州市越秀區）。元封五年改屬交州，州治爲廣信（今廣東封開）。
細路仔成日以為有怪物匿響衣櫃。	孩子們普遍認為衣櫃裡藏著怪物。
喺禁煙區迫人吸二手煙，影响到人就梗係唔得	在禁煙區逼人吸二手煙，影響到別人就當然是不行的了
元崗村梁氏宗祠	元崗村梁氏宗祠
我欣賞阿堅不拘小節嘅性格。	很欣賞阿堅不拘小節的性格。
鐵筆	鐵制撬杠
嗗一聲吞咗佢。	一口吞下就好了。
掛住	掂記
你可將意見、查詢或投訴透過以下書面方法送交我們	你可將意見、查詢或投訴通過以下書面方法送交我們
種到密質質就唔好喇	種得密密麻麻的就不好了
吊鐘	小舌頭兒
暫時	暫時、暫且
考生須讀出30個由〈粵音朗讀測試多音節詞彙表〉抽出嘅詞語，限時2分鐘。其中10個詞語有特定嘅考覈點（變調、多音字），淨低20個係高頻詞語。呢個部分只會以「準確度」評分。	考生需讀出30個從〈粵音朗讀測試多音節詞彙表〉抽出的詞語，時限2分鐘。其中10個詞語有特定的考覈點（變調、多音字），餘下20個為高頻詞語。此部分僅從「準確度」評分。
你要小心嗰個人，佢好騎呢，成日自言自語，好似傻傻哋噉。	你要小心那個人，他很奇怪，總是自言自語，看起來有些傻。
我哋誠邀您嚟我哋公司個Party。	我們誠摯地邀請您來參加我們公司的聚會。
我數三聲你好舉高雙手投降。如果唔係我哋攻入嚟	我數三聲你好舉高雙手投降。如果不是我們攻入來
富有地方色彩	富有地域特色
儲唔到首期唔緊要，有父幹咪得囉！	如果你不能存首付也沒關係，因為你有父親的契約。
點解咁得意𠸏？咁細張？	爲什麼這麼可愛 ？這麼小張？
駁嘴	頂嘴
入伙紙	佔用許可證
望乜嘢呀？	你看什麼？
宅	宅的
暖水壺	暖壺
值得注意嘅係，江戶時代官方文體係候文，到咗明治時代依然係正式書函文體。由於候文都用到漢文訓讀體，經常有人唔識，分唔清呢兩個。	值得注意的是，江戶時代官方文體為候文，明治時代仍是正式書函文體。由於候文也可使用漢文訓讀體，常有人不識、將兩者混為一談。
呢張檯傾斜咗十度。	這張桌子傾斜了 10 度。
阿媽三番四次提我做功課。	媽媽一遍又一遍地提醒我做作業。
極度。	極度。
良好市民	表現良好的公民
果兩條友匿埋喺度耳語，唔知有乜嘢陰謀。	那兩個傢伙在後面竊竊私語。 他們可能正在計劃一些事情。
佢俾人打跛腳，以後行路係䠋吓䠋吓噉。	他的腿被人給打殘了，後來走路就這樣了。
我哋為數唔多嘅農民 亦都因為市場開放政筞 同引進激烈競爭等原因 而唔再從事農業生產	為數不多的農民 已由於市場開放政策及引進的外來競爭等因素 被擠出農業行業 。
但係佢哋出生於哩個世界總有理由	你不會喜歡每一個學生 然而難纏的學生有他們出現的理由
三權分立嘅原意，係想將權力分散，等佢哋可以互相制衡。	三權分立的精神是防止權力集中和製衡。
無論係司機定係乘客都要配戴安全帶。	無論是司機還是乘客，都應該係好安全帶。
抨	用力砍殺
精乖	乖巧
搣碎	撕開
決裂咗好耐𡃉囖喎，重講。	決裂了很久，還說。
我一手𢲡住佢件衫，佢就走唔甩。	我抓住他的襯衫，讓他無法逃脫。
喺大部份嘅西方國家 佢係 「 帕斯卡三角 」 以法國數學家布萊茲 ‧ 帕斯卡嚟命名 咁嘅名命睇落有啲唔公平 因為帕斯卡係後期嘅人 去研究呢款三角形 但佢嘅貢獻都唔少	對多數西方世界來說 ， 它是 「 帕斯卡三角形 」 由法國數學家 布萊茲 · 帕斯卡 而得名 似乎有些不公平 ， 他的研究時間明顯較晚 但他仍有許多貢獻
好耐冇打日記，因為呢陣冇乜嘢發生，所以都唔知打乜好。	很久沒有寫日記了，因為此時什麼事都沒有發生，所以我完全不知道寫什麼好。
我哋企喺個好光嘅浴室度 一邊望住塊鏡一邊刷牙	我們站在光線明亮的浴室 透過鏡子清潔牙齒
有無人識得去紅磡御悅	有沒有人懂得去紅磡御悅
佢個名叫愛美，但係我唔知佢姓乜嘢。	她叫艾米，但我不知道她姓什麼。
機心	心機
阿揚用咁低劣嘅手段保住自己個職位，唔值得尊重。	阿陽以這種卑鄙的行為保住了自己的地位，他不值得尊重。
隻船一翻就浸死五個人。	船一翻，五個人就淹死了。
你連租都交唔起嘅話就真係要踎街㗎喇	你連租金都交不起的話就真要露宿街頭了
我哋第一次見面就好投緣。	我們第一次見面就相處得很好。
琴晚我同啲朋友一齊去佐敦蒲間樓上酒吧。	昨晚我和一些朋友一起去約旦樓上的酒吧閒逛。
好眼界	視力好
早已接洽。	早已接洽。
噉又冇靚霖把嚹。十張廿張度喇，唔記得咗嚹，係咁上下喇。	那又沒漂亮霖把嫋。十張廿張裏了，忘記了嫋，是左右了。
蜚聲國際	傳遍全球
赤柱回教廟	赤柱回教廟
2010年12月16日，“天安門媽咪”發表聲明，家下喺鄉下無錫住緊嘅丁子霖兩公婆同外界失去聯絡。自從10月份諾貝爾和平獎開鑼開始，佢哋嘅電話、手機同上網通訊畀人cut曬。聲明要求政府當局，撤銷軟禁，恢復佢哋嘅公民權利，畀佢哋返北京醫病。	2010年12月16日，“天安門母親”發表聲明，現在在老家無錫居住的丁子霖夫婦與外界失去聯絡。自10月份諾貝爾和平獎公佈，他們的電話、手機和互聯網通訊都被中斷。聲明要求政府當局，撤銷軟禁，恢復他們的公民權利，讓他們回北京治病。
世道昏暗	在一個不道德的世界
人哋傾緊重要嘢，咪走嚟搭訕啦！	我們正在討論一些重要的問題，不要打斷我們的談話！
你樣樣嘢都好好，人又nice，又乖女，心地好又主動幫人，但係……我放唔低我個ex。	我喜歡你的一切。 你對人很好，是個乖女孩，心地善良，喜歡幫助別人。 問題是，我無法停止想我的前任。
老竇腸癌隻標靶藥一個月成二萬蚊，有冇得申請資助？	我父親結腸癌的靶向治療費用為每月二萬元。 有補貼嗎？
拖個人出去	把一個人拖出去
上完體育堂，班房嗰陣體臭真係好惡頂。	體育課之後 上課了，教室裡的狐臭讓人難以忍受。
座枱燈	檯燈
破水囊	破水
醫生會用電筒去照病人嘅瞳孔。	醫生用手電筒檢查一個人的瞳孔。
跟住書上面嘅步驟做就得喇。	按照書上寫的步驟，就可以了。
太好喇 ， 佢喺埋邊食緊堆黑莓	哦 ， 太好了 ， 她在那邊吃她的黑漿果 。
沙士期間，有幾位醫護人員不幸染病而殉職。	非典型肺炎爆發期間，數名醫護人員染病不幸離世。
七二一唔見人	七二一不見人
搵人	找人的
成身老泥，快啲沖個涼啦	滿身汗垢，快去洗個澡吧
在康河的柔波裡	在康河的柔波里
千金難買心頭好	即使有很多錢也很難買到一個人喜歡的東西。
係我哋唔啱	是我們不對
狗棍	丁魚
音樂畀咗我激情 而物理曾經都係我嘅興趣	現在 ， 音樂是我的熱情 ， 但過去 ， 物理也曾是我的興趣 。
椗	瓜果的蒂
Cancer會唔會人傳人？	癌症會傳染嗎？
係真就好喇	是真的就好了
劏	屠宰
有無人知道元朗流業街係點去㗎	有沒有人知道元朗流業街是怎麼去的
轆	輪子的
大伯	大伯子
佢哋係一伙㗎。	他們屬於同一個幫派。
佢生仔當然我噔佢好開心啦！	她生了個兒子，自然是替她高興！
我未試過炭爐打邊爐。	我沒試過用炭火鍋煮火鍋。
百辭莫辯	百言難違
人地係大家閨秀，你呢啲窮矮毒就唔好妄想人地溝喇。	她來自一個小康家庭。 想都別想，她跟你格格不入。
男仔頭	半大小子
身上得五十零蚊，搭的士呡咗啲。	我身上只有五十多塊錢，很可能不夠打車。
豬尾	豬尾巴
發錢寒	渴望發財
正一	真是個
我好醒瞓㗎，少少聲都會嘈醒我。	我是一個敏感的睡眠者，只要一點點噪音就能把我吵醒。
個茶煲煲完水會好熱，唔好掂住。	水壺燒水後會很燙，先別碰。
改造自然	改造自然
佢係教徒，所以星期日通常都唔得閒。	他是信徒，所以他通常在星期天沒有空。
幫我吼住佢，一有動靜就話我知	給我盯著他，一有動靜就告訴我
買定	買下
港臺	香港和臺灣、港臺
揗雞	手忙腳亂
佢嘅所有諗法 、 想像同感悟 都嚟自佢細個喺村莊裡面 聞過 、 聽過 、 思考過嘅嘢	以及思考的想法 所以當他開始用英語寫作時 他有了足夠的儲備 甚至在他用英文寫作 你讀那些作品時 ， 還是會聞到一樣的味道 有一樣的感覺
賣報紙	散播
你咁樣呃啲顧客，我實在睇唔過眼呀	你這樣騙點顧客，我實在看不下去啊
揸住轆竹	拿著根竹子
唓！佢上位靠人脈之嘛！	嘖！ 他晉升只是靠個人關係。
嗰個邊個嚟㗎？	那個誰來的？
Denise Kahler-Braaten : 大家好 ， 我就係 Christie 嘅翻譯員	手語譯者 ： 嘿 ， 是我 。
喺控制理論，尤其係穩定性理論入便，穩定性判據係攞嚟判斷系統穩定的條件。有好多常見嘅穩定性判據：	在控制理論，尤其是穩定性理論中，穩定性判據是用來判斷系統穩定的條件。有許多常見的穩定性判據：
點解唔願意為左重要嘅新聞而派多一個人	爲什麼不願意爲了重要的新聞而派多一個人
嗰個大嬸扮鬼扮馬好得意	那個大嬸裝神弄鬼很可愛
當我哋集齊所有嘅量度數據 我哋就可以將佢哋併埋一齊 就可以了解呢三個行星 點樣同周圍嘅太空環境互動	一旦我們收及到所有的測量數據 ， 我們就能把這些綜合起來 ， 我們就能了解 這三個行星如何與太空環境 ， 與它們周邊的環境交互作用 ，
十雞士	十塊錢
依家你咩態度呀	現在你什麼態度呀
食譜話要落一百克嘅車打芝士。	食譜要求放入一百克切達干酪。
撩	逗
仔女對我嚟講係最珍貴嘅 任何覺得我會辜負仔女嘅諗法 都難以忍受	我的孩子是我最珍視的事情 ， 而要我辜負他們的想法 無論如何都是無法忍受的 。
佢自從同舊愛分咗手之後，視飲酒為一種慰藉。	自從他與前情人分手後，他就在酒瓶中找到了慰藉。
唔做	取消
（）拎出來。嘿，我嗰啲業餘啫。我（都）唔係，我又唔識得人。你拎去賣俾人噉樣，你要有窿路先至得𠿪。好多人好麻煩𡃉。我都送晒俾人嚹。算喇。我啲一生生幾百條。你養佢幾個月拎出去賣呀。幾廿蚊一條，都唔知幾發啊。	（ ）拿出來。嘿，我那些業餘而已。我（都）不是，我又不懂得人。你拿去賣給人這樣，你要有洞路纔行。很多人很麻煩嫋。我都送了被人嘮。算了。我的一生生幾百條。你養他幾個月拿出去賣啊。幾二十元一條，也不知道多發啊。
唔該將呢份文件影印三份。	請複印本文件三份。
之後 30 年 （ 即 90 年代 ） 我畢咗業 想自己創業 即使我成身債 ， 得一張信用卡 而且對車輪行業冇任何認識同經驗	所以 ， 快轉三十年後 ， 我畢業了 ， 我想開創自己的事業 ， 但卻背著一堆負債和一張信用卡 ， 完全沒有輪胎產業的經驗 。
一孖臘腸	一對中國香腸
帆立貝	扇貝
識食就一定食北菇蒸雞。	香菇雞肉是最好的菜。
冇眼睇	不想管
車牌	駕照
叫埃里克 ． 帕克 佢就係伯克縣小熊隊嘅足球教練	他的名字是艾力克 ‧ 帕爾克 。 他是伯克郡熊隊的足球首席教練 。
使唔使咁大反應呀？	這麼大反應幹嘛？
我哋兩個人都好唔啱嘺。	我們兩個很不相容。
sing con	唱歌比賽
或者任何一日 都會話 ： “ 我唔系好記得 ， 不過可以查下 ”	或事實任何一日期 ， 經常這就像 ， 「 我不完全記得 ， 但我可以給你查查看 。 」
攻擊性武器	攻擊性武器
要雙人嘅。	愛雙人的。
引入圈套	引誘入圈套
佢把聲咁好聽	她的聲音這麼好聽
佢被車撞到五癆七傷，送到嚟醫院已經得翻半條人命	他被車撞得五癆七傷，送到醫院已經半死不活
呢條褲著到霉晒	這條褲子穿得糟了
而家電話線路繁忙，請遲啲再打嚟啦。	目前線路正忙。 請稍後再致電。
我有個爛賭老公，好想同佢離婚。	我有一個愛賭博的丈夫。 我很想和他離婚。
最為人詬病嘅	最爲人詬病的
我哋一係會有個完全 冇緩和過嘅災難性 墨西哥灣漏油事件 一係喺事件上利用時機 正如而家好多人所講	我們要嘛會一再遭遇 像這次墨西哥灣漏油的 重大悲劇 ； 或是- 像這次的很多人一樣 ， 人們會記取這次的教訓 。
有無人知道荃灣海安路係點去㗎	有沒有人知道荃灣海安路是怎麼去的
一畝田閒閒哋收得千零斤谷	一畝田隨便能打一千來斤稻子
嗰條嘢個樣好醜怪	那傢伙的樣子很醜陋
阿嬸	叔父之妻
因為我可能會好似我父親一樣 餓死喺北韓 走到中國話唔定我嘅生活會更加好	我可以留在北韓像父親一樣死於飢餓 ， 或是我可以試著逃到中國 為自己爭取更好的生活 。
你唔拖實媽咪會俾人拐咗你去㗎！	如果你不握住你媽媽的手，你就會被綁架。
成日唔做嘢懶到出汁	總是不幹活懶得出汁
出版社聯絡資料	出版商的聯繫信息
睇吓呢個得唔得	看看這個行不行
我知道呢個只係眾多物理理論中嘅一個 但係佢話畀我知	我知道它只是許多理論之一 ， 但它會對我說話 。
喫𡲢啦，𨶙婆！	吃屎，該死的女人！
你俾人呃咗咁多錢都唔知，正一傻女嚟！	你被騙了那麼多錢。 真是個傻姑娘！
我話兩母女來𡃉。	我說母女倆來贏。
攪到佢冇晒修	搞得他狼狽不堪
工聯會透露，有啲企業同公司逐漸採用陰乾式裁員。	工協透露，一些企業和公司正逐步以扣款作為辭退員工的方式。
企業管理	商業管理
所以其實我老細個原意梗係想我去睇熟悉晒嗰間廠個運作。	所以其實我老闆原意當然想我去看熟悉了那間廠個運作。
有個鼓佬同結他手想入band。	鼓手和吉他手想加入一個樂隊。
你係唔係路呀？	你是不是有問題？
歇暑	暑假休息
飲適量嘅水對身體有益。	喝適量的水有益於健康。
佢五呎都未到，但係就矮仔多計。	他身高不到五英尺，但正如人們所熟知的那樣狡猾。
於二零一八年	於二零一八年
嚟呢啲咁高級嘅地方，真係周身唔自在	來這種高貴的場所，真是渾身不自在
仲有冇質地更加好㗎？	還有質量更好些的嗎？
支水槍水壓唔錯，洗得好乾淨。	高壓清洗機的水壓還不錯； 它清潔得很好。
聽日係假期，唔知道荃灣嘅雙仙灣泳灘多唔多人？	明天是假期，不知道荃灣的雙仙灣泳灘多不多人？
哈哈 ！ （ 笑聲 ） 呢一招真係免死金牌	哈 哈 （ 大笑 ） 善用這招 ， 你可以成功避免任何的尷尬
契弟	乾弟
聽佢講嘢就知佢冇料	聽他說話就知道他沒有學問
阿成喇。哩啲喇。噉𠻺即係真係唔好意思嚹。	阿成了。這些了。那就是真不好意思嘮。
（例如合適和足夠的熔斷器及斷路器）及保持其效能良好	（例如合適和足夠的熔斷器及斷路器）及保持其效能良好
留低	留下
噚日入境事務處處長喺電台證實，近年申請免遣返保護聲請嘅人數增多。	入境事務處負責人昨日在電台證實，近年申請免遣返保護的人數增加不少。
所以與其回答 我只係笑臉相迎 因為有一樣嘢浮現喺我腦海裏面	所以我不回答他們 ， 只是回敬一個我最大的微笑 ， 當時我看到 ， 在閃爍的光芒下 ， 在我腦海中的跡象 。
喺阿根廷有五萬	在阿根廷有五萬本 ，
誒，自己比較鍾意即係周圍行下睇下。就睇啱鍾意自己個牌子，又要睇下啲價錢嗰方面囖。即係有啲某公司就會比較又會貴啲，或者𠻺九龍，或者某公司又會平啲噉囖。	淘氣，自己比較喜歡就是到處走下看看。就看剛喜歡自己的牌子，又要看看這些價錢那方面嫋。就是有些某公司就會比較又會貴點，或者掄九龍，或者某公司又會便宜點地。
骨	精於某行業者
嗌交去出便，唔好喺度嘈喧巴閉。	去外面吵架，別在這兒吵。
呢個仆街仔，又幾叻㗎喎！	原來這小狗東西還挺聰明的！
但咁嘅做法引起中國網民憤怒	這激怒了中國網友
中資企業	由中國大陸出資的企業。
Translation啊。都好吖。可以考慮下喇。遲啲睇下大家揾唔揾到嘢做囖。	Translation 啊。都好的。可以考慮下了。遲點看看大家找不找到事情做。
BB歲半要開始報N班㗎喇。	寶寶一歲半了。 是時候申請學前班了。
乜嘢盡量少？唔好問吖嗎。	什麼儘量少？不要問呢嗎。
唔好去嘞	不要去了
唔係貓來𡃉。	不是貓來嫋。
紅顏知己	女性密友
係喇。唔知係唔係年年呢啲finalyear嗰啲學生呢都會噉嘅呢？	對了。不知道是不是每年這些 finalyear 那些學生呢都會這樣的呢？
仲要大聲叫救命呀	還要大聲叫救命啊
壽板	棺材板
索	勒索
葉問頃刻之間打低咗十個日本仔。	葉問一眨眼就打倒了十個日本鬼子。
而有啲我諗可能 回復得快啲	而我想 ， 有的 回復的速率會比較快 。
係會粒聲唔出咁喊	是會一聲不吭這麼哭
誒，其實呢，就，我容許其他嘅議員呢，在坐喺依度嘅話呢，其實我就唔去作任何決定，唔畀人哋發言嘅，因為我已經畀咗人哋坐喺度㗎嘞。	既然我已容許其他議員就座，便不會作出不容許議員發言的決定。
亞甲病咗幾日，成個人都落晒形	阿甲病了數日，整個人都沒精打彩的
大嫂要去錦田治河路嗰度買啲嘢	大嫂要去錦田治河路那裏買點東西
中文科成績尚可。	語文成績一般。
姑姐	小姑姑
琴晚有卅呀個人嚟上我嘅堂。	昨晚有三十人來聽我的課。
每日會有一千桶水落響每公頃嘅土地	那天 ， 那塊地每公頃上 降下了超過一千桶的水
我就唔接你嘅。	我就不接你的。
繅繭	繅蠶絲
橫掂今日都做唔晒啲嘢，不如早啲去瞓覺，聽日再做啦。	無論如何我都無法完成我的工作； 如果我早點睡，把工作留到第二天就好了。
霍士財經新聞叫呢個概念做 「 50 歲嘅實習生 」	然後 ， 還要感謝福斯 商業新聞的好意 ， 他們取名新聞內容是 「 50 歲的實習生 」 。
係啊。四代同堂嗎，我哋。	是啊。四代同堂唄嗎，我們。
柱侯金錢肚	柱侯金錢肚
自梳女係一種舊時女性對抗封建嘅象徵。	女性梳頭是反封建的標誌。
郭棐（1529年—1605年），字篤周，號夢蘭，明朝政治人物。廣東南海人。	郭棐（1529年－1605年），字篤周，號夢蘭，明朝政治人物。廣東南海人。
我稍微行開下。	請允許我稍等片刻。
坐喺收銀嘅老板娘	坐在收銀的老闆娘
咪著住底衫出街啦，失禮死呀	別穿著內衣上街，太丟人了
咪係囖。你又鍾意shopping喎。	就是淘氣。你又喜歡 shopping 啦。
使乜你多嘴	不需要你多嘴
Sheila 都走埋入去 然後我開始畫	把希拉放在裡面 然後我開始作畫
我同鬼佬講鬼佬話！	我和一個鬼佬說英語！
1981年，待替丁浩做中華人民共和國駐科威特大使。1983年，由楊福昌接任。2018年1月， 當選第十三屆全國政協委員 。	1981年，接替丁浩擔任中華人民共和國駐科威特大使。1983年，由楊福昌接任。2018年1月，當選第十三屆全國政協委員。
揸數	管賬
佢哋可以係震撼或者傻傻地嘅 亦可以係觸動人心	可能很驚人或愚蠢 或深情
（ 笑聲 ） 冇人意識到 攞時間嚟到講完全係無稽之談	（ 笑聲 ） 似乎沒人注意到 以時間當參考 是一個不合理的推論 。
多謝你哋嘅反應	謝謝你們這樣的反應 。
亞爸喺葵涌石建街買左三磅士多啤梨返屋企	爸爸在葵涌石建街買了三磅小商店梨回家
死過翻生	死裏逃生
佢學識廣博，熟識天文地理、物理化學，以至於政治經濟。	他博學多才，通曉天文、地理、物理、化學，甚至通曉政治和經濟。
得把口話實掂點知喺有姿勢冇實際	空談說肯定好怎麼知道在有姿勢沒有實際
佢耷低頭，好似唔開心。	她低著頭，好像很不高興。
唔好亂咁吠	別胡說八道
同大家介紹下受惠機構	跟大家介紹下受惠機構
由佢哋瞓	讓他們睡吧
就係有大鑊嘢囉	就是有麻煩東西了
你鍾唔鍾意佢呀？	你喜歡他嗎？
冇錯	沒錯兒
不憤氣	氣憤難平
細細個就冇咗阿媽，真係淒涼！	他年紀輕輕就失去了媽媽，真是可憐啊！
海暉實業集團俾收購後，股價標升。	海輝企業集團被收購後股價大漲。
你係唔係啞咗？	你是不是啞了？
請問有無人識得去長沙灣曉盈	請問有沒有人懂得去長沙灣曉盈
四萬一……四萬幾蚊一個人㗎。	四萬多塊一個人的。
曳	淘氣
佢走嗰陣時有冇話低乜嘢？	他走的時候有沒有留下什麼話？
佢俾人捉痛腳，然後俾佢哋勒索。	他的尷尬秘密被別人抓住，後來被人勒索。
約定你	到時見
敵機舂咗落嚟	敵機栽了下來
入來吖。繼續錄𡁵音啊。	進來啊。繼續錄音音啊。
亞甲都有去生日會	阿甲也去了生日會
屎胐窿	屁股眼
害人之心不可有，防人之心不可無。	害人之心不可有，防人之心不可無。
好識	非常懂得
斬一蚊叉燒翻嚟	買一塊錢叉燒回來
噉PS定Saturn啲遊戲好玩啊？	這樣 PS 好了 Saturn 點遊戲好玩嗎？
大家爽手啲，做完早啲收工。	大家快點做事，這樣我們就可以早點完成然後下班。
誒，佢係，誒，其實都係芝士焗嘅，噉呢，但係佢個問題呢就，誒，佢成隻其實起咗出來，然之後切粒，即係將龍蝦肉切粒。	淘氣，他是，淘氣，其實也是芝士悶熱的，那麼呢，但是他的問題呢就，淘氣，他整隻其實起了出來，然後切粒，就是把龍蝦肉切粒。
諗真吓先	先想清楚再說
一字咁淺，邊個都識啦	這不是明擺著嗎，誰都知道啦
好耐無去長洲北社二里探舅父	很久沒去長洲北社二里探舅舅
有意見可以提，唔好使頸	有意見可以提，不要使性子
啲番茄點解咁奀㗎？	為什麼這些西紅柿又小又難看？
豉油雞翼	醬油雞翅
雖然受咗傷，佢都發揮到一定嘅水準。	儘管他受傷了，但他的表現還算合理。
呢件事你經已洗濕個頭，唔做都要做啦！	這件事你已經牽扯進來了，不管你喜不喜歡，你都得處理！
我呢度有啲朱古力，你食住頂下肚先啦。	我有一些巧克力，你自己吃吧。
頹	遜
係月黑風高殺蟲夜	是月黑風高殺蟲夜
除了有極佳的抗氧化作用	除了有極佳的抗氧化作用
你鬧人都唔使鬧得咁狼啩！	你罵人也不要罵得這麼絕情！
我成日勸佢唔好賭錢，但係佢好似借咗聾耳陳隻耳噉。	我一直勸他不要賭，但他好像對我的勸告充耳不聞。
佢拉過啲張枱。	她將桌子稍微拉過某個位置。
呢次係我第一次踏足歐洲。	這是我第一次踏上歐洲的土地。
閘住，咪講呢啲	打住，別說這些
（ 笑聲 ） 於是我返去睇返我本教師版教科書	但當我回去看教師手冊
因為咁係爲咗挑戰我哋過往嘅做事方式 爲咗打破過往嘅陳規陋習 為今日嘅問題 帶來新嘅解決方法 .	因為唯有透過挑戰現有的做事方式 我們才能夠脫離窠臼 來為今日的問題 提出創新的解決方案
講多無謂，你哋想出幾多錢？	說話是沒有用的。 你願意出多少錢？
爛	無法收回
八月底啊。	八月底啊。
語言有相似嘅效果	語言可以對你做出這些 。
仲有好多工夫要做	還有很多活兒要幹
淡茂茂，冇聞冇味狗都唔吼呀。	太雞肋了。 連狗都不想吃。
東南亞	東南亞地區
《中華人民共和國澳門特別行政區基本法》係中華人民共和國澳門特別行政區嘅憲制性文件，是澳門的「小憲法」，代替澳門回歸前嘅《澳門組織章程》。	《中華人民共和國澳門特別行政區基本法》是中華人民共和國澳門特別行政區的憲制性文件，是澳門的「小憲法」，代替了澳門回歸前的《澳門組織章程》。
濟	濟
汝家池塘多鮫魚。	你的池塘里有很多西班牙鯖魚。
我喺外便住咗幾個月都冇穿冇爛，你哋唔使擔心	我在外頭生活了幾個月也無病無災，你們不用掛心
香港人嘅優良傳統	香港人的共性
冇王管	沒人管
聖若瑟書院北座及西座	聖若瑟書院北座及西座
一擗忌廉	一些奶油
馴獸師	馴服者
